,出生数,（再掲）,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数,出生率,出生子,死亡率,乳　児,新生児,自　然,死産率,自　然,人　工,周産期,22週以後,早期新生,婚姻率,離婚率,　　　,2500g未満,　　　,乳児死亡数,新生児,増減数,総　数,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　,　　　,の性比,　　　,死亡率,死亡率,増減率,　　　,死産率,死産率,死亡率,の死産率,児死亡率,　　　,　　　,,,,,死亡数,,,,,,の死産数,死亡数,,,(人口千対),女100対男,(人口千対),(出生千対),(出生千対),(人口千対),(出産千対),(出産千対),(出産千対),(出産千対),(出産千対),(出生千対),(人口千対),(人口千対)
５８新　潟,6387,529,7798,13,8,-1411,157,62,95,26,20,6,3903,1186,7.9,109.0,9.6,2.0,1.3,-1.7,24.0,9.5,14.5,4.1,3.1,0.9,4.8,1.46
５９静　岡,5771,568,7329,11,3,-1558,160,84,76,24,22,2,3627,1227,8.1,107.3,10.3,1.9,0.5,-2.2,27.0,14.2,12.8,4.1,3.8,0.3,5.1,1.72
６０浜　松,7002,687,7304,17,9,-302,141,73,68,30,24,6,4192,1378,8.8,103.3,9.1,2.4,1.3,-0.4,19.7,10.2,9.5,4.3,3.4,0.9,5.2,1.72
６１名古屋,19868,1982,19594,59,29,274,437,205,232,84,65,19,13871,4497,8.8,106.0,8.6,3.0,1.5,0.1,21.5,10.1,11.4,4.2,3.3,1.0,6.1,1.98
６２京　都,11252,1130,13623,25,10,-2371,262,130,132,49,40,9,7879,2773,7.6,104.7,9.2,2.2,0.9,-1.6,22.8,11.3,11.5,4.3,3.5,0.8,5.3,1.88
６３大　阪,22992,2290,26680,55,25,-3688,568,235,333,94,77,17,17811,6776,8.6,106.7,10.0,2.4,1.1,-1.4,24.1,10.0,14.1,4.1,3.3,0.7,6.7,2.54
６４　堺　,7350,687,7394,18,9,-44,171,71,100,30,24,6,4467,1818,8.7,103.9,8.8,2.4,1.2,-0.1,22.7,9.4,13.3,4.1,3.3,0.8,5.3,2.16
６５神　戸,12720,1212,14289,19,7,-1569,262,133,129,36,30,6,7952,3044,8.2,103.7,9.3,1.5,0.6,-1.0,20.2,10.2,9.9,2.8,2.4,0.5,5.2,1.97
６６岡　山,6698,592,6167,16,10,531,152,70,82,25,18,7,3943,1425,9.4,105.6,8.7,2.4,1.5,0.7,22.2,10.2,12.0,3.7,2.7,1.0,5.5,2.00
６７広　島,11485,1180,9409,19,8,2076,251,112,139,41,36,5,6775,2249,9.7,105.5,8.0,1.7,0.7,1.8,21.4,9.5,11.8,3.6,3.1,0.4,5.8,1.91
６８北九州,8377,795,10380,22,11,-2003,261,81,180,26,17,9,5197,2080,8.6,107.1,10.7,2.6,1.3,-2.1,30.2,9.4,20.8,3.1,2.0,1.1,5.3,2.14
６９福　岡,14370,1402,10456,45,22,3914,374,165,209,78,61,17,10004,3122,9.7,104.0,7.1,3.1,1.5,2.6,25.4,11.2,14.2,5.4,4.2,1.2,6.8,2.11
